model,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Llama3.1_8B_instruct,900,0.47928307666666664,0.0,0.48944444444444446,0.5690599644444444,0.4577777777777778
Qwen2.5_14B_Instruct,900,0.4624127033333333,0.0,0.47425925888888887,0.5041261011111111,0.4444444444444444
Phi3_mini_4K_instruct,900,0.4549629666666667,0.0,0.45944444444444443,0.4921111111111111,0.44222222222222224
Qwen3_4B_Instruct,897,0.44554069342251945,0.0,0.4503901895206243,0.45922209810479375,0.43812709030100333
