model,method,n_rows,n_latest_rows,n_chronological_rows,latest_state_score,chronological_order_score,chronological_awareness_score
Llama3.1_8B_instruct,DP,450,63,63,0.41005292063492066,0.4331065714285714,0.421579746031746
Llama3.1_8B_instruct,RAG,450,63,63,0.43839758730158734,0.4126984126984127,0.42554800000000004
Phi3_mini_4K_instruct,DP,450,63,63,0.047619047619047616,0.3492063492063492,0.1984126984126984
Phi3_mini_4K_instruct,RAG,450,63,63,0.5502645555555556,0.4550264603174603,0.502645507936508
Qwen2.5_14B_Instruct,DP,450,63,63,0.1746031746031746,0.36564625396825395,0.2701247142857143
Qwen2.5_14B_Instruct,RAG,450,63,63,0.3412698412698413,0.4365079365079365,0.3888888888888889
Qwen3_4B_Instruct,DP,450,63,63,0.047619047619047616,0.3492063492063492,0.1984126984126984
Qwen3_4B_Instruct,RAG,447,62,62,0.23655914516129034,0.41854838709677417,0.32755376612903225
