model,method,retrieval_type,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Phi3_mini_4K_instruct,RAG,story_edit::remove_one,49,0.47891157142857144,0.4,0.5204081632653061,0.5551020408163265,0.42857142857142855
Phi3_mini_4K_instruct,RAG,story_state::latest_chapter,54,0.6049382777777778,1.0,0.6018518518518519,0.6111111111111112,0.5925925925925926
Qwen2.5_14B_Instruct,DP,Entities,12,0.5,0.5,0.5,0.5,0.5
Qwen2.5_14B_Instruct,DP,Event contents,32,0.5921875,1.0,0.65625,0.58085315625,0.5625
Qwen2.5_14B_Instruct,DP,Full event details,15,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667
Qwen2.5_14B_Instruct,DP,Other entities,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
Qwen2.5_14B_Instruct,DP,Spaces,18,0.5,0.5,0.5,0.5,0.5
Qwen2.5_14B_Instruct,DP,Times,22,0.5113636363636364,0.625,0.5454545454545454,0.5519480454545455,0.5
Qwen2.5_14B_Instruct,DP,story_compare::intersection,51,0.9803921568627451,1.0,0.9803921568627451,1.0,0.9803921568627451
Qwen2.5_14B_Instruct,DP,story_composite::difference_then_sort,48,0.3055555625,0.0,0.3125,0.4270833333333333,0.2916666666666667
Qwen2.5_14B_Instruct,DP,story_compute::sort_items,54,0.3664021111111111,0.0,0.37962962962962965,0.4197530925925926,0.35185185185185186
Qwen2.5_14B_Instruct,DP,story_diff::set_difference,63,0.026455031746031744,0.0,0.031746031746031744,0.05555555555555555,0.015873015873015872
Qwen2.5_14B_Instruct,DP,story_edit::empty,17,1.0,1.0,1.0,1.0,1.0
Qwen2.5_14B_Instruct,DP,story_edit::remove_one,49,0.42312926530612244,0.0,0.4489795918367347,0.576530612244898,0.3877551020408163
Qwen2.5_14B_Instruct,DP,story_state::latest_chapter,54,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Qwen2.5_14B_Instruct,RAG,Entities,12,0.6111110833333333,1.0,0.6666666666666666,0.6833333333333332,0.5833333333333334
Qwen2.5_14B_Instruct,RAG,Event contents,32,0.625,1.0,0.625,0.625,0.625
Qwen2.5_14B_Instruct,RAG,Full event details,15,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667
Qwen2.5_14B_Instruct,RAG,Other entities,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
